Per qualche dollaro in più,(1965),8.2
The Apartment,(1960),8.2
Double Indemnity,(1944),8.2
To Kill a Mockingbird,(1962),8.2
Up,(2009),8.2
Indiana Jones and the Last Crusade,(1989),8.2
Heat,(1995),8.2
L.A. Confidential,(1997),8.2
Die Hard,(1988),8.2
Green Book,(2018),8.2
Monty Python and the Holy Grail,(1975),8.2
Yôjinbô,(1961),8.2
Batman Begins,(2005),8.2
Rashômon,(1950),8.2
Der Untergang,(2004),8.2
Bacheha-Ye aseman,(1997),8.2
Unforgiven,(1992),8.2
Ran,(1985),8.2
Some Like It Hot,(1959),8.2
Hauru no ugoku shiro,(2004),8.2
All About Eve,(1950),8.2
A Beautiful Mind,(2001),8.2
Casino,(1995),8.2
The Great Escape,(1963),8.2
The Wolf of Wall Street,(2013),8.2
Pan's Labyrinth,(2006),8.2
El secreto de sus ojos,(2009),8.1
There Will Be Blood,(2007),8.1
Lock, Stock and Two Smoking Barrels,(1998),8.1
Tonari no Totoro,(1988),8.1
Raging Bull,(1980),8.1
Judgment at Nuremberg,(1961),8.1
The Treasure of the Sierra Madre,(1948),8.1
Dial M for Murder,(1954),8.1
Three Billboards Outside Ebbing, Missouri,(2017),8.1
Shutter Island,(2010),8.1
The Gold Rush,(1925),8.1
Chinatown,(1974),8.1
Babam ve Oglum,(2005),8.1
No Country for Old Men,(2007),8.1
V for Vendetta,(2005),8.1
Inside Out,(2015),8.1
Det sjunde inseglet,(1957),8.1
The Elephant Man,(1980),8.1
The Thing,(1982),8.1
Warrior,(2011),8.1
The Sixth Sense,(1999),8.1
Trainspotting,(1996),8.1
Jurassic Park,(1993),8.1
Klaus,(2019),8.1
The Truman Show,(1998),8.1
Gone with the Wind,(1939),8.1
Finding Nemo,(2003),8.1
Smultronstället,(1957),8.1
Blade Runner,(1982),8.1
Stalker,(1979),8.1
Kill Bill: Vol. 1,(2003),8.1
Salinui chueok,(2003),8.1
The Bridge on the River Kwai,(1957),8.1
Fargo,(1996),8.1
Room,(2015),8.1
The Third Man,(1949),8.1
Relatos salvajes,(2014),8.1
Gran Torino,(2008),8.1
On the Waterfront,(1954),8.1
Tôkyô monogatari,(1953),8.1
Anand,(1971),8.1
The Deer Hunter,(1978),8.1
In the Name of the Father,(1993),8.1
Mary and Max,(2009),8.1
The Grand Budapest Hotel,(2014),8.1
Gone Girl,(2014),8.1
Before Sunrise,(1995),8.1
Catch Me If You Can,(2002),8.1
Hacksaw Ridge,(2016),8.1
Höstsonaten,(1978),8.1
Persona,(1966),8.1
Andhadhun,(2018),8.1
Prisoners,(2013),8.1
The Big Lebowski,(1998),8.1
Sherlock Jr.,(1924),8.1
To Be or Not to Be,(1942),8.1
Soul,(2020),8.1
The General,(1926),8.1
How to Train Your Dragon,(2010),8.1
Ford v Ferrari,(2019),8.1
Barry Lyndon,(1975),8.1
12 Years a Slave,(2013),8.1
Eskiya,(1996),8.1
Mr. Smith Goes to Washington,(1939),8.1
Mad Max: Fury Road,(2015),8.1
Million Dollar Baby,(2004),8.1
Dead Poets Society,(1989),8.1
Network,(1976),8.1
Stand by Me,(1986),8.1
Harry Potter and the Deathly Hallows: Part 2,(2011),8.1
Ben-Hur,(1959),8.1
Cool Hand Luke,(1967),8.1
Hachi: A Dog's Tale,(2009),8.1
Ah-ga-ssi,(2016),8.1
Platoon,(1986),8.0
Logan,(2017),8.0
Into the Wild,(2007),8.0
Rush,(2013),8.0
Le salaire de la peur,(1953),8.0
Life of Brian,(1979),8.0
La haine,(1995),8.0
La passion de Jeanne d'Arc,(1928),8.0
Dom za vesanje,(1988),8.0
Les quatre cents coups,(1959),8.0
Spotlight,(2015),8.0
Hotel Rwanda,(2004),8.0
Amores perros,(2000),8.0
Gangs of Wasseypur,(2012),8.0
Andrei Rublev,(1966),8.0
Rocky,(1976),8.0
Monsters, Inc.,(2001),8.0
Kaze no tani no Naushika,(1984),8.0
Rebecca,(1940),8.0
Du rififi chez les hommes,(1955),8.0
Rang De Basanti,(2006),8.0
Before Sunset,(2004),8.0
Fa yeung nin wah,(2000),8.0
Paris, Texas,(1984),8.0
Portrait de la jeune fille en feu,(2019),8.0
It Happened One Night,(1934),8.0
Contratiempo,(2016),8.0
Drishyam,(2015),8.0
The Help,(2011),8.0
La battaglia di Algeri,(1966),8.0
Mandariinid,(2013),8.0
The Princess Bride,(1987),8.0
Miracle in cell NO.7,(2019),8.0
Trois couleurs: Rouge,(1994),8.0
